Timestamp;Frame;ID;DLC;D0;D1;D2;D3;D4;D5;D6;D7
13381;EFF;18000800;5;1E;41;C8;CC;CD;;;
13397;EFF;18000900;5;1E;42;92;F8;44;;;
13980;EFF;18000000;8;24;82;0;1A;0;0;33;8A
13982;EFF;18000100;8;24;82;0;1A;0;0;32;FE
13982;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
14181;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
14181;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
14182;EFF;18000500;8;24;82;0;1A;0;0;0;2D
14375;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
14375;EFF;18000700;8;24;82;0;3A;0;0;0;3C
14375;EFF;18000800;5;1E;41;C8;CC;CD;;;
14378;EFF;18000900;5;1E;42;92;F8;43;;;
14979;EFF;18000000;8;24;82;0;1A;0;0;33;8A
14980;EFF;18000100;8;24;82;0;1A;0;0;32;E7
14980;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
15178;EFF;18000300;8;24;82;0;1A;0;0;0C;E4
15178;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
15179;EFF;18000500;8;24;82;0;1A;0;0;0;2D
15355;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
15355;EFF;18000700;8;24;82;0;3A;0;0;0;3C
15355;EFF;18000800;5;1E;41;C8;CC;CD;;;
15377;EFF;18000900;5;1E;42;92;F8;42;;;
15976;EFF;18000000;8;24;82;0;1A;0;0;33;8A
15977;EFF;18000100;8;24;82;0;1A;0;0;32;F1
15978;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
16176;EFF;18000300;8;24;82;0;1A;0;0;0C;E4
16176;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
16177;EFF;18000500;8;24;82;0;1A;0;0;0;2D
16330;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
16331;EFF;18000700;8;24;82;0;3A;0;0;0;3C
16331;EFF;18000800;5;1E;41;C8;CC;CD;;;
16376;EFF;18000900;5;1E;42;92;F8;41;;;
16975;EFF;18000000;8;24;82;0;1A;0;0;33;88
16977;EFF;18000100;8;24;82;0;1A;0;0;32;DB
16977;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
17176;EFF;18000300;8;24;82;0;1A;0;0;0C;E4
17177;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
17177;EFF;18000500;8;24;82;0;1A;0;0;0;2D
17308;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
17309;EFF;18000700;8;24;82;0;3A;0;0;0;3C
17309;EFF;18000800;5;1E;41;C8;CC;CD;;;
17375;EFF;18000900;5;1E;42;92;F8;40;;;
17974;EFF;18000000;8;24;82;0;1A;0;0;33;8A
17975;EFF;18000100;8;24;82;0;1A;0;0;32;FB
17975;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
18174;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
18174;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
